category,adapter_ram_mb,bank_label,capacity_bytes,capacity_gb,computer_info_computer_name,computer_info_domain,computer_info_manufacturer,computer_info_model,computer_info_number_of_logical_processors,computer_info_number_of_processors,computer_info_primary_owner_name,computer_info_system_type,computer_info_total_physical_memory,computer_info_workgroup,data_width,device_id,device_id_short,device_locator,device_name,drive_type,driver_version,environment_info_hostname,environment_info_program_files,environment_info_program_files_x86,environment_info_system_root,environment_info_temp_dir,environment_info_user_domain,environment_info_user_profile,environment_info_username,form_factor,interface_type,manufacturer,media_type,memory_type,model,name,os_info_architecture,os_info_build_number,os_info_free_physical_memory,os_info_free_virtual_memory,os_info_install_date,os_info_last_boot_up_time,os_info_manufacturer,os_info_name,os_info_serial_number,os_info_service_pack,os_info_system_directory,os_info_total_virtual_memory_size,os_info_total_visible_memory_size,os_info_version,os_info_windows_directory,part_number,partition_details_0_bootable,partition_details_0_drive_letter,partition_details_0_file_system,partition_details_0_free_space_bytes,partition_details_0_free_space_gb,partition_details_0_partition_number,partition_details_0_primary_partition,partition_details_0_size_bytes,partition_details_0_size_gb,partition_details_0_starting_offset,partition_details_0_type,partition_details_0_volume_label,partition_details_1_bootable,partition_details_1_drive_letter,partition_details_1_file_system,partition_details_1_free_space_bytes,partition_details_1_free_space_gb,partition_details_1_partition_number,partition_details_1_primary_partition,partition_details_1_size_bytes,partition_details_1_size_gb,partition_details_1_starting_offset,partition_details_1_type,partition_details_1_volume_label,partition_details_2_bootable,partition_details_2_partition_number,partition_details_2_primary_partition,partition_details_2_size_bytes,partition_details_2_size_gb,partition_details_2_starting_offset,partition_details_2_type,partition_details_3_bootable,partition_details_3_drive_letter,partition_details_3_file_system,partition_details_3_free_space_bytes,partition_details_3_free_space_gb,partition_details_3_partition_number,partition_details_3_primary_partition,partition_details_3_size_bytes,partition_details_3_size_gb,partition_details_3_starting_offset,partition_details_3_type,partition_details_3_volume_label,partition_details_4_bootable,partition_details_4_partition_number,partition_details_4_primary_partition,partition_details_4_size_bytes,partition_details_4_size_gb,partition_details_4_starting_offset,partition_details_4_type,partitions,platform_info_machine,platform_info_platform,platform_info_processor,platform_info_python_version,platform_info_release,platform_info_system,platform_info_version,pnp_device_id,product_id,serial_number,service,size_bytes,size_gb,speed_mhz,spin_info_install_path,spin_info_installed,spin_info_license_number,spin_info_version,status,total_width,usb_class,vendor_id,windows_edition_edition,windows_edition_sku
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_2704&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0008,2704,,NVIDIA GeForce RTX 4080,,,,,,,,,,,,,NVIDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_2704&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0008,,Not available,nvlddmkm,,,,,,,,OK,,,10DE,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4E&SUBSYS_88821043&REV_11\3&11583659&0&AA,7A4E,,Intel(R) Serial IO I2C Host Controller - 7A4E,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4E&SUBSYS_88821043&REV_11\3&11583659&0&AA,,Not available,iaLPSS2_I2C_ADL,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A3A&SUBSYS_88821043&REV_11\3&11583659&0&E2,7A3A,,Intel(R) PCI Express Root Port #3 - 7A3A,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A3A&SUBSYS_88821043&REV_11\3&11583659&0&E2,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00,A700,,PCI standard host CPU bridge,,,,,,,,,,,,,(Standard system devices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_125C&SUBSYS_88671043&REV_06\E89C25FFFF6BFEEF00,125C,,Intel(R) Ethernet Controller I226-V,,,,,,,,,,,,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_125C&SUBSYS_88671043&REV_06\E89C25FFFF6BFEEF00,,Not available,e2fnexpress,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A74D&SUBSYS_88821043&REV_01\3&11583659&0&30,A74D,,Intel(R) PCIe RC 060 (x4) G4 - A74D,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A74D&SUBSYS_88821043&REV_01\3&11583659&0&30,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A27&SUBSYS_88821043&REV_11\3&11583659&0&A2,7A27,,Intel(R) Shared SRAM - 7A27,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A27&SUBSYS_88821043&REV_11\3&11583659&0&A2,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A30&SUBSYS_88821043&REV_11\3&11583659&0&E8,7A30,,Intel(R) PCI Express Root Port #9 - 7A30,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A30&SUBSYS_88821043&REV_11\3&11583659&0&E8,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4D&SUBSYS_88821043&REV_11\3&11583659&0&A9,7A4D,,Intel(R) Serial IO I2C Host Controller - 7A4D,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4D&SUBSYS_88821043&REV_11\3&11583659&0&A9,,Not available,iaLPSS2_I2C_ADL,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A38&SUBSYS_88821043&REV_11\3&11583659&0&E0,7A38,,Intel(R) PCI Express Root Port #1 - 7A38,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A38&SUBSYS_88821043&REV_11\3&11583659&0&E0,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,7A24,,Intel(R) SPI (flash) Controller - 7A24,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,A77F,,Intel RST VMD Controller A77F,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,,Not available,iaStorVD,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,A77D,,Intel(R) Platform Monitoring Technology Driver,,,,,,,,,,,,,Intel(R) Platform Monitoring Technology Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,,Not available,IntelPMT,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,7A60,,Intel(R) USB 3.20 eXtensible Host Controller - 1.20 (Microsoft),,,,,,,,,,,,,Generic USB xHCI Host Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,,Not available,USBXHCI,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,5017,,Standard NVM Express Controller,,,,,,,,,,,,,Standard NVM Express Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,,Not available,stornvme,,,,,,,,OK,,,15B7,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,7A68,,Intel(R) Management Engine Interface #1,,,,,,,,,,,,,Intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,,Not available,MEIx64,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A04&SUBSYS_88821043&REV_11\3&11583659&0&F8,7A04,,Intel(R) LPC Controller/eSPI Controller - 7A04,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A04&SUBSYS_88821043&REV_11\3&11583659&0&F8,,Not available,msisadrv,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A70D&SUBSYS_88821043&REV_01\3&11583659&0&08,A70D,,Intel(R) PCIe RC 010 G5 - A70D,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_A70D&SUBSYS_88821043&REV_01\3&11583659&0&08,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4C&SUBSYS_88821043&REV_11\3&11583659&0&A8,7A4C,,Intel(R) Serial IO I2C Host Controller - 7A4C,,,,,,,,,,,,,Intel Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A4C&SUBSYS_88821043&REV_11\3&11583659&0&A8,,Not available,iaLPSS2_I2C_ADL,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A40&SUBSYS_88821043&REV_11\3&11583659&0&D8,7A40,,Intel(R) PCI Express Root Port #17 - 7A40,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A40&SUBSYS_88821043&REV_11\3&11583659&0&D8,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A50&SUBSYS_887C1043&REV_11\3&11583659&0&FB,7A50,,High Definition Audio Controller,,,,,,,,,,,,,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A50&SUBSYS_887C1043&REV_11\3&11583659&0&FB,,Not available,HDAudBus,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A48&SUBSYS_88821043&REV_11\3&11583659&0&D0,7A48,,Intel(R) PCI Express Root Port #25 - 7A48,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A48&SUBSYS_88821043&REV_11\3&11583659&0&D0,,Not available,pci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A23&SUBSYS_88821043&REV_11\3&11583659&0&FC,7A23,,Intel(R) SMBus - 7A23,,,,,,,,,,,,,INTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A23&SUBSYS_88821043&REV_11\3&11583659&0&FC,,Not available,Unknown,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A62&SUBSYS_88821043&REV_11\3&11583659&0&B8,7A62,,Standard SATA AHCI Controller,,,,,,,,,,,,,Standard SATA AHCI Controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_8086&DEV_7A62&SUBSYS_88821043&REV_11\3&11583659&0&B8,,Not available,storahci,,,,,,,,OK,,,8086,,
PCI Device,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_22BB&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0108,22BB,,High Definition Audio Controller,,,,,,,,,,,,,Microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCI\VEN_10DE&DEV_22BB&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0108,,Not available,HDAudBus,,,,,,,,OK,,,10DE,,
